# id	name	entry	idglob	caller	site
124	day	14338F648	142ADD960	1400831C0	140084EE3
125	newday	14338F690	142ADD980	1400831C0	140084F1C
126	guitypes	14338F6D8	142ADD9A0	1400831C0	140084F55
127	guiButtonType	14338F720	142ADD9C0	1400831C0	140084F8E
128	upSprite	14338F768	142ADD9DC	1400831C0	140084FC7
129	downSprite	14338F7B0	142ADDA00	1400831C0	140085000
130	dissableSprite	14338F7F8	142ADDA20	1400831C0	140085039
131	overSprite	14338F840	142ADDA3C	1400831C0	140085072
132	quadTextureSprite	14338F888	142ADDA5C	1400831C0	1400850AB
133	textBoxType	14338F8D0	142ADDA7C	1400831C0	1400850E4
134	borderSize	14338F918	142ADDA9C	1400831C0	14008511D
135	parent	14338F960	142ADDAC0	1400831C0	140085156
136	leftButton	14338F9A8	142ADDADC	1400831C0	14008518F
137	rightButton	14338F9F0	142ADDAFC	1400831C0	1400851C8
138	slider	14338FA38	142ADDB1C	1400831C0	140085201
139	track	14338FA80	142ADDB3C	1400831C0	14008523A
140	scrollbarType	14338FAC8	142ADDB5C	1400831C0	140085273
141	priority	14338FB10	142ADDB7C	1400831C0	1400852AC
142	buttonDrag	14338FB58	142ADDBA0	1400831C0	1400852E5
143	text	14338FBA0	142ADDBBC	1400831C0	14008531E
144	maxHeight	14338FBE8	142ADDBDC	1400831C0	140085357
145	maxWidth	14338FC30	142ADDBFC	1400831C0	140085390
146	tooltip	14338FC78	142ADDC20	1400831C0	1400853C9
147	tooltipText	14338FCC0	142ADDC3C	1400831C0	140085402
148	delayedTooltipText	14338FD08	142ADDC5C	1400831C0	14008543B
149	minValue	14338FD50	142ADDC7C	1400831C0	140085474
150	maxValue	14338FD98	142ADDC9C	1400831C0	1400854AD
151	stepSize	14338FDE0	142ADDCBC	1400831C0	1400854E6
152	startValue	14338FE28	142ADDCE0	1400831C0	14008551F
153	horizontal	14338FE70	142ADDCFC	1400831C0	140085558
154	staydownbutton	14338FEB8	142ADDD20	1400831C0	140085591
155	windowType	14338FF00	142ADDD40	1400831C0	1400855CA
156	background	14338FF48	142ADDD5C	1400831C0	140085603
157	moveable	14338FF90	142ADDD80	1400831C0	14008563C
158	resizeableWindow	14338FFD8	142ADDD9C	1400831C0	140085675
159	radioButton	143390020	142ADDDC0	1400831C0	1400856AE
160	radioButtonGroupType	143390068	142ADDDDC	1400831C0	1400856E7
161	verticalScrollbar	1433900B0	142ADDDFC	1400831C0	140085720
162	horizontalScrollbar	1433900F8	142ADDE20	1400831C0	140085759
163	scrollbargroupType	143390140	142ADDE3C	1400831C0	140085792
164	radioScrollbar	143390188	142ADDE60	1400831C0	1400857CB
165	dontRender	1433901D0	142ADDE7C	1400831C0	140085804
166	horizontalBorder	143390218	142ADDE9C	1400831C0	14008583D
167	verticalBorder	143390260	142ADDEC0	1400831C0	140085876
168	listBoxItemType	1433902A8	142ADDEE0	1400831C0	1400858AF
169	listBoxType	1433902F0	142ADDF00	1400831C0	1400858E8
170	editBoxType	143390338	142ADDF20	1400831C0	140085921
171	3dButtonType	143390380	142ADDF40	1400831C0	14008595A
172	buttonMesh	1433903C8	142ADDF5C	1400831C0	140085993
173	buttonText	143390410	142ADDF80	1400831C0	1400859CC
174	buttonFont	143390458	142ADDF9C	1400831C0	140085A05
175	3dposition	1433904A0	142ADDFC0	1400831C0	140085A3E
176	fixedsize	1433904E8	142ADDFDC	1400831C0	140085A77
177	3dIconType	143390530	142ADDFFC	1400831C0	140085AB0
178	positionType	143390578	142ADE01C	1400831C0	140085AE9
179	layout	1433905C0	142ADE03C	1400831C0	140085B22
180	multiSpriteButtonType	143390608	142ADE05C	1400831C0	140085B5B
181	icon	143390650	142ADE080	1400831C0	140085B94
182	iconType	143390698	142ADE0A0	1400831C0	140085BCD
183	dropDown	1433906E0	142ADE0BC	1400831C0	140085C06
184	heading	143390728	142ADE0DC	1400831C0	140085C3F
185	dropDownMenuType	143390770	142ADE0FC	1400831C0	140085C78
186	step	1433907B8	142ADE120	1400831C0	140085CB1
187	language	143390800	142ADE13C	1400831C0	140085CEA
188	l_english	143390848	142ADE15C	1400831C0	140085D23
189	l_french	143390890	142ADE180	1400831C0	140085D5C
190	l_german	1433908D8	142ADE1A0	1400831C0	140085D95
191	l_swedish	143390920	142ADE1C0	1400831C0	140085DCE
192	gui	143390968	142ADE1E0	1400831C0	140085E07
193	graphics	1433909B0	142ADE200	1400831C0	140085E40
194	orientation	1433909F8	142ADE220	1400831C0	140085E79
195	checkbox	143390A40	142ADE240	1400831C0	140085EB2
196	checkboxType	143390A88	142ADE260	1400831C0	140085EEB
197	truncate	143390AD0	142ADE280	1400831C0	140085F24
198	receiver	143391D60	142ADEAAC	1400831C0	140086DD6
199	tickstamp	143391DA8	142ADEAD0	1400831C0	140086E0F
200	ordertype	143391DF0	142ADEAEC	1400831C0	140086E48
201	server	143391E38	142ADEB0C	1400831C0	140086E81
202	client	143391E80	142ADEB30	1400831C0	140086EBA
203	commandlist	143391EC8	142ADEB50	1400831C0	140086EF3
204	istargetasynchronous	143391F10	142ADEB70	1400831C0	140086F2C
205	port	143391F58	142ADEB90	1400831C0	140086F65
206	string_address	143391FA0	142ADEBB0	1400831C0	140086F9E
207	session_name	143391FE8	142ADEBD0	1400831C0	140086FD7
208	status	143392030	142ADEBEC	1400831C0	140087010
209	address	143392078	142ADEC10	1400831C0	140087049
210	basic_type	1433920C0	142ADEC30	1400831C0	140087082
211	standardchatmessage	143392108	142ADEC4C	1400831C0	1400870BB
212	alluserlist	14338F060	142ADD6BC	1400831C0	140084A36
213	announcedone	14338F0A8	142ADD6DC	1400831C0	140084A6F
214	channel	14338F0F0	142ADD700	1400831C0	140084AA8
215	chattext	14338F138	142ADD720	1400831C0	140084AE1
216	banuser	14338F180	142ADD73C	1400831C0	140084B1A
217	datetime	14338F1C8	142ADD760	1400831C0	140084B53
218	handler	14338F210	142ADD77C	1400831C0	140084B8C
219	identity	14338F258	142ADD79C	1400831C0	140084BC5
220	key	14338F2A0	142ADD7C0	1400831C0	140084BFE
221	message	14338F2E8	142ADD7DC	1400831C0	140084C37
222	password	14338F330	142ADD800	1400831C0	140084C70
223	rank	14338F378	142ADD820	1400831C0	140084CA9
224	row	14338F3C0	142ADD83C	1400831C0	140084CE2
225	type	14338F408	142ADD860	1400831C0	140084D1B
226	user	14338F450	142ADD87C	1400831C0	140084D54
227	win	14338F498	142ADD8A0	1400831C0	140084D8D
228	userslist	14338F4E0	142ADD8BC	1400831C0	140084DC6
229	game	14338F528	142ADD8DC	1400831C0	140084DFF
230	dummy	143392228	142ADECCC	1400831C0	14008719F
231	sound_fx_volume	143392270	142ADECF0	1400831C0	1400871D8
