# CPersistent family 1.19.3 — fingerprint slot1=0x1424BEC50 & slot3=0x1424BE690
# class	vtable	writer[2]	reader[4]	slots(到下一RTTI表距离,非定案)
CIgnoreTargetedDecisionCommand	0x142996d40	0x14226a110	0x142269e60	24
CImproveRelationAction	0x14298cb40	0x141141470	0x14113e7a0	67
CImproveRelationsRelation	0x142960588	0x140d2daa0	0x140d2b100	23
CIncomingDiplomaticAction	0x142a376e0	0x141aa6f30	0x141aa6e40	81
CIncomingDiplomaticActionActingCommand	0x1429971f0	0x14226a110	0x142269e60	24
CIncomingDiplomaticActionStatus	0x1429d2768	0x1415148a0	0x141513bb0	60
CIncomingLendLeaseAction	0x1429d1358	0x1415046f0	0x1415040c0	315
CIncreaseAutonomyAction	0x14298e508	0x141141470	0x14113e7a0	67
CIncreaseGameSpeedCommand	0x142977040	0x14226a110	0x142269e60	24
CInsigniaTypeGraphics	0x14293d378	0x14012a2c0	0x140a56120	9
CIntelSource	0x14295f098	0x1411aee90	0x1411ade90	9
CIntelligenceAgency	0x142981f68	0x140fdf3a0	0x140fdda00	9
CIntelligenceAgencyCancelCreationCommand	0x142a2e4f8	0x14226a110	0x142269e60	24
CIntelligenceAgencyCancelUpgradeCommand	0x142a2e688	0x14226a110	0x142269e60	24
CIntelligenceAgencyCreationCommand	0x142a2e430	0x14226a110	0x142269e60	24
CIntelligenceAgencyUpgradeCommand	0x142a2e5c0	0x14226a110	0x142269e60	24
CJoinAllyAction	0x14298c920	0x141141600	0x14113ec90	67
CLandBorderWarCombat	0x1429bc6d0	0x1413f0070	0x1413ef310	10
CLandBorderWarCombatant	0x1429bc728	0x1413f0100	0x1413ef3c0	34
CLandCombat	0x1429a84b8	0x1412bd810	0x1412ba2f0	10
CLandCombatant	0x1429a82c0	0x1412bd820	0x1412ba300	34
CLargefileHandler	0x142b48d08	0x142220340	0x14221fc10	354
CLargefileHandlerInterface	0x1429670b0	0x142220340	0x14221fc10	68
CLaunchOperationCommand	0x1429784a0	0x14226a110	0x142269e60	24
CLauncherSettings	0x142b406f8	0x14012a2c0	0x1422744c0	76
CLearnTraitCommand	0x142a0cd58	0x14226a110	0x142269e60	24
CLendLeaseAction	0x1429ab588	0x1415047d0	0x141504380	89
CLendLeaseBaseAction	0x1429d1128	0x1415047d0	0x141504380	69
CLendLeaseExchange	0x142a20b58	0x14196eb30	0x14196e160	103
CLendLeaseRelation	0x142960948	0x140d2daa0	0x140d2b100	23
CLiberateCountryAction	0x1429d3000	0x14151ffd0	0x14151f640	35
CLicenceProductionAccessRelation	0x142960348	0x140d2daa0	0x140d2b100	23
CLicensedProductionStatus	0x1429c0c88	0x14143b7c0	0x14143af10	66
CLimitedUseTechBonus	0x1429750a0	0x1413cfb70	0x1413cf8c0	9
CLimitedUseTechCostReduction	0x1429750f0	0x1413d00a0	0x1413cfe50	182
CLineChartType	0x142b4ef40	0x14012a2c0	0x142320840	42
CLogisticsStatus	0x1429b3b88	0x141375a30	0x141375230	118
CLoopHistory	0x1429d2a48	0x141517ea0	0x141517670	39
CLoopHistoryContainer	0x1429d29a8	0x141517ec0	0x1415176c0	9
CLoopHistoryContainerQueue	0x1429d29f8	0x141518230	0x141517940	9
CMTTHDatabaseEntry	0x14271a658	0x14012a2c0	0x140a67860	9
CManpowerLogger	0x1429b3b18	0x14012a2c0	0x14136e560	13
CMap	0x14293d818	0x14012a2c0	0x140a63300	275
CMapArrowButtonDefinition	0x1429a62f8	0x14012a2c0	0x14126a680	9
CMapArrowDefinition	0x1429a6348	0x14012a2c0	0x14126a800	82
CMapArrowTextDefinition	0x1429a62a8	0x14012a2c0	0x14126ad90	9
CMapRenderingOptions	0x1427243c8	0x1401fc580	0x1401fae80	19
CMapSymbolDefinition	0x142a3fd28	0x14012a2c0	0x141b1fa40	36
CMarkSunkShipInfoAsReadCommand	0x1429b0a10	0x14226a110	0x142269e60	24
CMaskedSpriteType	0x1429e6dc0	0x14012a2c0	0x1416422f0	58
CMassCancelMovementCommand	0x142993960	0x14226a110	0x142269e60	24
CMassMoveCommand	0x1429b1c90	0x14226a110	0x142269e60	24
CMassRemoveProductionsLineCommand	0x142993898	0x14226a110	0x142269e60	24
CMeanTimeToHappen	0x1427185a0	0x14012a2c0	0x140552390	9
CMergeArmiesCommand	0x1429b2f50	0x14226a110	0x142269e60	345
CMergeNaviesCommand	0x1429b2b68	0x14226a110	0x142269e60	24
CMessageType	0x1429d8f90	0x1415788f0	0x141578470	11
CMessageTypeSettings	0x1429d8f40	0x141578a80	0x141578810	9
CMilitaryAccessAction	0x14298c2c0	0x141141470	0x14113e7a0	67
CMilitaryAccessRelation	0x142960408	0x140d2daa0	0x140d2b100	23
CMilitaryDeployment	0x14295e058	0x140cebb30	0x140ceacb0	9
CMilitaryDeploymentConveyor	0x14295e100	0x140cebc10	0x140ceae70	76
CMilitaryDeploymentLine	0x14295e0a8	0x140cebd60	0x140ceb100	10
CMilitaryProductionLine	0x14297bc80	0x140f6ed30	0x140f6ed20	33
CModifier	0x1427185f0	0x140612640	0x1406104e0	9
CMoreGroundCrewsCommand	0x142a1e448	0x14226a110	0x142269e60	24
CMoveAirGroupAndAirTheatreToFreeCommand	0x142a1e5d8	0x14226a110	0x142269e60	24
CMoveAirWingAndAirGroupToAirTheatreCommand	0x142a1e510	0x14226a110	0x142269e60	24
CMoveAirWingToAirGroupCommand	0x142a1e6a0	0x14226a110	0x142269e60	24
CMoveArmiesInTheaterCommand	0x142a0aee0	0x14226a110	0x142269e60	24
CMoveArmyGroupInTheaterCommand	0x142a0afa8	0x14226a110	0x142269e60	24
CMoveCommand	0x1429b1bc8	0x14226a110	0x142269e60	24
CMoveIndustrialOrgTraitInQueueCommand	0x142967ff8	0x14226a110	0x142269e60	24
CMoveShipsCommand	0x1429b2780	0x14226a110	0x142269e60	24
CMusicPlayerSettings	0x14294eaf0	0x141927670	0x141927530	333
CNameGroup	0x142935b68	0x14012a2c0	0x1409c6870	9
CNameGroupMember	0x142935b18	0x1409c9ac0	0x1409c80e0	9
CNameGroupTracker	0x142935bb8	0x1409c9b80	0x1409c8330	9
CNationalFocusDatabase	0x142739d00	0x14012a2c0	0x1402d83b0	9
CNationalFocusDependency	0x142739ac8	0x14012a2c0	0x1402d8690	9
CNationalFocusPosition	0x142739b68	0x14012a2c0	0x1402d8760	9
CNationalFocusProgress	0x142739d50	0x1402dc910	0x1402d89b0	9
CNationalFocusStyleDatabase	0x142739a78	0x14012a2c0	0x1424bec40	9
CNationalFocusTree	0x142739bb8	0x14012a2c0	0x1402d8cb0	9
CNavalAccidentReport	0x14295ddc8	0x140ce6590	0x140ce5160	9
CNavalBase	0x1429731c0	0x140eb2180	0x140eac9a0	19
CNavalBaseConvoyClient	0x1429a29c0	0x140cbe140	0x140cb73d0	31
CNavalBlockadeAction	0x142a36af0	0x141617a70	0x1416178e0	138
CNavalBlockadeRelation	0x142a21ad0	0x140d2daa0	0x140d2b100	28
CNavalCombat	0x1429ddbe0	0x1415c5bc0	0x1415c4790	204
CNavalCombatAirEntry	0x14295dc80	0x140ce6630	0x140ce53f0	9
CNavalCombatResultSide	0x14295dd20	0x140ce6760	0x140ce5790	9
CNavalCombatResults	0x14295dd70	0x140ce6b20	0x140ce5af0	10
CNavalCombatShipEntry	0x14295dcd0	0x140ce6c50	0x140ce5c20	9
CNavalCombatant	0x1429e3e98	0x141622520	0x1416209e0	182
CNavalDeployment	0x14295fb48	0x140d14860	0x140d124e0	9
CNavalDeploymentTarget	0x14295faf8	0x140d148b0	0x140d12530	9
CNavalMineReport	0x14295de18	0x140ce6d20	0x140ce5d30	64
CNavalMission	0x14297f038	0x140fbea80	0x140fb9b30	313
CNavalMissionAddRegionCommand	0x1429af5c0	0x14226a110	0x142269e60	24
CNavalMissionMassMoveCommand	0x1429af818	0x14226a110	0x142269e60	24
CNavalMissionMoveCommand	0x1429af750	0x14226a110	0x142269e60	24
CNavalMissionRemoveRegionCommand	0x1429af688	0x14226a110	0x142269e60	24
CNavalMissionSetRegionsCommand	0x1429af4f8	0x14226a110	0x142269e60	24
CNavalMissionSetTargetCommand	0x1429b0ec0	0x14226a110	0x142269e60	94
CNavalMissionSetTypeCommand	0x1429af430	0x14226a110	0x142269e60	24
CNavalMoveCommand	0x1429af8e0	0x14226a110	0x142269e60	24
CNavalProductionLine	0x14297be68	0x140f6f590	0x140f6f4f0	33
CNavalRegionDominance	0x142984c40	0x141006490	0x1410060c0	214
CNavalUnitTransfer	0x14296d8a8	0x140e28f40	0x140e27690	384
CNavyCancelActivityCommand	0x1429af368	0x14226a110	0x142269e60	24
CNavyCancelRefitCommand	0x1429af2a0	0x14226a110	0x142269e60	24
CNavyCancelRepairCommand	0x1429aedf0	0x14226a110	0x142269e60	24
CNavyClearAccidentReportsCommand	0x1429affe8	0x14226a110	0x142269e60	24
CNavyDetachShipsAndMergeCommand	0x1429af110	0x14226a110	0x142269e60	24
CNavyDetachShipsAndRefitCommand	0x1429af1d8	0x14226a110	0x142269e60	24
CNavyDetachShipsAndRepairCommand	0x1429aed28	0x14226a110	0x142269e60	24
CNavyLeader	0x142955dc0	0x140c283f0	0x140c20960	34
CNavyLeaderModule	0x1429dd810	0x1416237c0	0x1416235e0	9
CNavyRepairModeCommand	0x1429aef80	0x14226a110	0x142269e60	24
CNavyRepairNowCommand	0x1429aeeb8	0x14226a110	0x142269e60	24
CNavySetUnderwayReplenishmentCommand	0x1429af048	0x14226a110	0x142269e60	24
CNavyStrengthCache	0x1427e71d0	0x14142dd90	0x14142d5d0	9
CNavyTheater	0x1429d2b88	0x141518c70	0x1415189d0	34
CNavyTheaterGroup	0x1429dcce0	0x1415b9b20	0x1415b97e0	25
CNeutralAttitude	0x1427e0340	0x14012a2c0	0x1424bec40	18
CNonAggressionPactAction	0x14298cf80	0x141141470	0x14113e7a0	67
CNonAggressionPactRelation	0x142960888	0x140d2daa0	0x140d2b100	23
CNuclearStrike	0x1427e7220	0x14109a620	0x141099f40	9
CNuke	0x1427e7270	0x14109a660	0x141099f80	9
CNullAIAttitude	0x1427e0768	0x14012a2c0	0x1424bec40	18
CNullAIEquipmentRoleDatabaseEntry	0x1427dfa70	0x14012a2c0	0x14148c800	13
CNullAIFocusDatabaseEntry	0x1427e21d8	0x14012a2c0	0x1406604c0	34
CNullAIRoleDatabaseEntry	0x1427e0a40	0x14012a2c0	0x141494490	168
CNullAIStrategyPlanDatabaseEntry	0x1427e1a00	0x14012a2c0	0x140660b80	16
CNullAITemplateEntry	0x1429c7a38	0x14012a2c0	0x141495160	218
CNullCombatTactic	0x1427e6588	0x14012a2c0	0x1406c07f0	78
CNullCustomMapMode	0x1427eaa78	0x14012a2c0	0x140722370	238
CNullGraphicalCultureType	0x14293c058	0x14012a2c0	0x1424bec40	13
CNullSavedEventTarget	0x1427d4438	0x14053c090	0x140539530	163
COccupationLaw	0x14293e818	0x14012a2c0	0x140a75610	82
COccupationModifier	0x1429ba640	0x14012a2c0	0x1413c3290	72
COfferAirBaseAccessAction	0x142a36378	0x141141470	0x14113e7a0	88
COfferAirBaseAccessRelation	0x142a217f8	0x140d2daa0	0x140d2b100	23
COfferDockingRightsAction	0x142a36860	0x141141470	0x14113e7a0	81
COfferDockingRightsRelation	0x142a219e8	0x140d2daa0	0x140d2b100	28
COfferMilitaryAccessAction	0x14298c4e0	0x141141470	0x14113e7a0	67
COfferMilitaryAccessRelation	0x1429604c8	0x140d2daa0	0x140d2b100	23
COnActionList	0x14293eab0	0x14012a2c0	0x140a7a1c0	12
COnRulingPartyChangeActionCommand	0x14272dea8	0x14226a110	0x142269e60	55
COperationInstance	0x1429be5d0	0x141404b00	0x141402770	10
COperationPhaseSelection	0x14293f288	0x14012a2c0	0x140a7b420	9
COperationPhaseSelectionMember	0x14293f148	0x14012a2c0	0x140a7b6f0	39
COperationResources	0x14271ab70	0x140a7b070	0x140a7ab40	9
COperationToken	0x14271adf0	0x14012a2c0	0x140a7fc30	9
COperativeLeader	0x142955f00	0x140c28550	0x140c20b80	34
COperativeMissionData	0x142955b40	0x14194e520	0x14194dfd0	9
COperativeRecruitment	0x1429d8ff0	0x14157be20	0x14157b590	70
COpinionModifier	0x14293f6d8	0x14012a2c0	0x140a822b0	9
COrderAddNewCompletePlanCommand	0x142a0bcf0	0x14226a110	0x142269e60	24
COrderAssignCommand	0x142a0b200	0x14226a110	0x142269e60	24
COrderBlockSectionsCommand	0x142a0b458	0x14226a110	0x142269e60	24
COrderChildFrontRatioCommand	0x142a0c010	0x14226a110	0x142269e60	24
COrderConnectCommand	0x142a0b778	0x14226a110	0x142269e60	24
COrderDeleteAllCommand	0x142a0b070	0x14226a110	0x142269e60	24
COrderDeleteChildFront	0x142a0b390	0x14226a110	0x142269e60	24
COrderDeleteCommand	0x142a0b138	0x14226a110	0x142269e60	24
COrderEditRootCommand	0x142a0bf48	0x14226a110	0x142269e60	24
COrderExecuteCommand	0x142a0c330	0x14226a110	0x142269e60	24
COrderGroupCommand	0x142a0aaf8	0x14226a110	0x142269e60	24
COrderInsertFrontCommand	0x142a0b840	0x14226a110	0x142269e60	24
COrderInstance	0x142986718	0x14104b570	0x14103e110	294
COrderMembersFairSplitCommand	0x142a0c268	0x14226a110	0x142269e60	24
COrderMergeRootsCommand	0x142a0c1a0	0x14226a110	0x142269e60	24
COrderNewFallbackCommand	0x142a0ba98	0x14226a110	0x142269e60	24
COrderNewFrontCommand	0x142a0b908	0x14226a110	0x142269e60	24
COrderNewRootCommand	0x142a0bc28	0x14226a110	0x142269e60	24
COrderReconnectCommand	0x142a0b6b0	0x14226a110	0x142269e60	24
COrderRemoveRootCommands	0x142a0be80	0x14226a110	0x142269e60	24
COrderReorderChildFrontCommand	0x142a0c0d8	0x14226a110	0x142269e60	24
COrderReplaceFallbackCommands	0x142a0bb60	0x14226a110	0x142269e60	24
COrderReplaceRootCommands	0x142a0bdb8	0x14226a110	0x142269e60	24
COrderReshapeCommand	0x142a0b5e8	0x14226a110	0x142269e60	24
COrderSetCollapseCommand	0x142a0cc90	0x14226a110	0x142269e60	24
COrderSetInvasionSourceCommand	0x142a0c588	0x14226a110	0x142269e60	24
COrderSetParadropSourceCommand	0x142a0ca38	0x14226a110	0x142269e60	24
COrderSetParadropTargetCommand	0x142a0cb00	0x14226a110	0x142269e60	24
COrderSetPathCommand	0x142a0b520	0x14226a110	0x142269e60	24
COrderSetTrainingCommand	0x142a0cbc8	0x14226a110	0x142269e60	24
COrderUnassignCommand	0x142a0b2c8	0x14226a110	0x142269e60	24
COrdersGroup	0x1429522b0	0x140bf7630	0x140bf30a0	18
COutragedAttitude	0x1427e0470	0x14012a2c0	0x1424bec40	18
CPassPeaceConferenceCommand	0x142a84440	0x14226a110	0x142269e60	24
CPauseGame	0x14296a560	0x14226a110	0x142269e60	24
CPdx3DType	0x142b41580	0x14012a2c0	0x1422d7a60	14
CPdxDummy3DType	0x142b57e58	0x14012a2c0	0x1422d7a60	14
CPdxMeshType	0x142b4d7a0	0x14012a2c0	0x14230d680	140
CPdxParticleType	0x142b415f8	0x14012a2c0	0x1422973e0	65
CPdxPostEffectVolumeManager	0x1429a71b8	0x14012a2c0	0x141288fe0	13
CPdxSocialPlayerId	0x142969418	0x142401c80	0x142401250	9
CPeaceAction	0x1429d2ca0	0x141520010	0x14151f740	35
CPeaceActionCategoryEntry	0x14293f998	0x14012a2c0	0x140a85310	9
CPeaceActionModifier	0x14293f9e8	0x14012a2c0	0x140a85360	9
CPeaceActionScriptedAiDesire	0x14293fa38	0x14012a2c0	0x140a85420	70
CPeaceBiddingTurn	0x14296e4b0	0x1419f51e0	0x1419f4a70	705
CPeaceConference	0x142950e58	0x140e527d0	0x140e4ada0	42
CPeaceConferenceManager	0x142720e48	0x140bbf150	0x140bbf000	19
CPeaceProposalAction	0x14298be80	0x141141470	0x14113e7a0	67
CPersistedMioQueue	0x142a1b868	0x141927240	0x141926980	9
CPersistentScriptTargets	0x1427eb1f0	0x14012a2c0	0x140734650	9
CPersonalChatMessage	0x142b49990	0x1422e78a0	0x1422e70c0	13
CPlayerAiPrefs	0x1427e72c0	0x1414e83e0	0x1414e8300	9
CPoliticalParty	0x14299e410	0x1411a6d00	0x1411a5700	40
CPoliticalPortraitPool	0x14293fcc0	0x14012a2c0	0x140a88f70	9
CPoliticalStatus	0x14294fda8	0x140bb0520	0x140bad850	96
CPortraitPool	0x14293fc70	0x14012a2c0	0x140a891c0	9
CPositionOverride	0x142739938	0x14012a2c0	0x141376ff0	19
CPostHotJoinCommand	0x14296a628	0x14226a110	0x142269e60	24
CPotentialDesignCollection	0x142a1b640	0x141923d30	0x141922360	9
CPowerBalance	0x14296fc50	0x140e58c50	0x140e57540	9
CPowerBalanceRange	0x14293ffa8	0x14012a2c0	0x140a8ece0	10
CPowerBalanceSide	0x142940000	0x14012a2c0	0x140a8ed10	9
CPowerBalanceSideInfo	0x14296fc00	0x140e58de0	0x140e57a50	9
CPowerBalanceSystem	0x14296fca0	0x140e58e30	0x140e57aa0	52
CPowerBalanceTemplate	0x142940050	0x14012a2c0	0x140a8edd0	9
CProductionLine	0x1429cb2f8	0x142220340	0x14221fc10	101
CProductionLineInterfaceFactoriesScaleCommand	0x142993ed8	0x14226a110	0x142269e60	24
CProductionLineInterfaceToggleExpandAllCommand	0x142994068	0x14226a110	0x142269e60	24
CProductionLineInterfaceToggleExpandCommand	0x142993fa0	0x14226a110	0x142269e60	24
CProductionResourceCost	0x142a11328	0x141a00ec0	0x141a00c90	716
CProgressSection	0x1427197d0	0x14012a2c0	0x140a12670	13
CProgressbarSpriteType	0x142b521b8	0x14012a2c0	0x14235fea0	25
CPromoteAutonomyCommand	0x1429ab3f8	0x14226a110	0x142269e60	24
CPromoteToCountryLeaderCommand	0x14295e4f8	0x14226a110	0x142269e60	24
CPromoteUnitLeaderCommand	0x1429b2c30	0x14226a110	0x142269e60	24
CProtectiveAttitude	0x1427e05a0	0x14012a2c0	0x1424bec40	18
CPrototypeRewardOptionCommand	0x142a90730	0x14226a110	0x142269e60	24
CProvince	0x142971b18	0x140e81390	0x140e7f720	9
CProvinceRailwayInfo	0x142972c80	0x140e95dd0	0x140e95200	9
CPuppetCountryAction	0x1429d3120	0x14151ff90	0x14151f540	35
CQueueUnitActionCommand	0x1429b2e88	0x14226a110	0x142269e60	24
CQuit	0x1429e60d0	0x14226a110	0x142269e60	24
CRadarsPool	0x142989198	0x1410aabc0	0x1410a8fd0	50
CRailwayGun	0x142972400	0x140e8de80	0x140e8c870	13
CRailwayGunManualOrderCommand	0x142972af0	0x14226a110	0x142269e60	24
CRailwayGunProductionLine	0x14297bfc8	0x140f70e10	0x140f70c60	33
CRailwayGunRepairLine	0x14297c100	0x140f70e60	0x140f70c80	43
CRailwayGunSetNameCommand	0x142972bb8	0x14226a110	0x142269e60	24
CRailwayManager	0x142972cd0	0x140e95ef0	0x140e954b0	134
CRailwayProductionLine	0x142a2be90	0x141a046e0	0x141a041d0	53
CRandomLocList	0x1429423d0	0x14012a2c0	0x140aac5b0	19
CRandomLocListMember	0x142942380	0x14012a2c0	0x140aac760	9
CReadyAfterHotJoinCommand	0x14296a6f0	0x14226a110	0x142269e60	24
CRecruitOperativeCommand	0x142a2ed90	0x14226a110	0x142269e60	251
CRecruitScientistCommand	0x142a90348	0x14226a110	0x142269e60	24
CReduceAutonomyAction	0x14298e2e8	0x141141470	0x14113e7a0	67
CReferenceObject	0x1427de248	0x142220340	0x14221fc10	10
CReferencedDivisionTemplate	0x14294f5b0	0x140ba6ec0	0x140ba3d80	77
CReinforcementRequest	0x1429d1d70	0x1415105b0	0x14150efe0	9
CReinforcementStatus	0x1429d1e80	0x141510510	0x14150eef0	9
CReinstateExileCommand	0x142997060	0x14226a110	0x142269e60	24
CRelation	0x1429601c8	0x140d2daa0	0x140d2b100	23
CRelationStatus	0x142960b10	0x140d2db40	0x140d2b300	9
CReleaseCountryCommand	0x142996200	0x14226a110	0x142269e60	24
CRemoveAdmiralFromNavyHeadquarter	0x142a0d2d0	0x14226a110	0x142269e60	237
CRemoveAdvisorCommand	0x142995710	0x14226a110	0x142269e60	24
CRemoveAllConstructionCommand	0x142994900	0x14226a110	0x142269e60	24
CRemoveAllProductionLineCommand	0x142993d48	0x14226a110	0x142269e60	24
CRemoveAutonomyCommand	0x1429ab4c0	0x14226a110	0x142269e60	24
CRemoveBuildingLevelCommand	0x1429949c8	0x14226a110	0x142269e60	24
CRemoveConstructionCommand	0x142994838	0x14226a110	0x142269e60	24
CRemoveConveyorCommand	0x142a48d20	0x14226a110	0x142269e60	24
CRemoveConveyorLineCommand	0x142a48f78	0x14226a110	0x142269e60	58
CRemoveDivisionTemplateCommand	0x1429abdc8	0x14226a110	0x142269e60	274
CRemoveFromArmyGroupCommand	0x142a0ae18	0x14226a110	0x142269e60	24
CRemoveIdeaCommand	0x142995648	0x14226a110	0x142269e60	24
CRemoveIndustrialOrgTraitFromQueueCommand	0x142967f30	0x14226a110	0x142269e60	24
CRemoveNavalInvasionTargetCommand	0x142a0c650	0x14226a110	0x142269e60	24
CRemovePlayerCommand	0x142a22ed0	0x14226a110	0x142269e60	24
CRemoveProductionLineCommand	0x142993bb8	0x14226a110	0x142269e60	24
CRemoveProductionLineName	0x1429946a8	0x14226a110	0x142269e60	24
CRemoveShipRefitProductionLineCommand	0x142993c80	0x14226a110	0x142269e60	24
CRemoveTaskForceTemplateCommand	0x1429b0ba0	0x14226a110	0x142269e60	24
CRenameAirGroupCommand	0x142a1e8f8	0x14226a110	0x142269e60	24
CRenameAirTheatreCommand	0x142a1e830	0x14226a110	0x142269e60	24
CRenameEquipmentVariantCommand	0x142a24570	0x14226a110	0x142269e60	24
CReopenLobbyCommand	0x14296a7b8	0x14226a110	0x142269e60	24
CReorderAirTheatersCommand	0x142a1e768	0x14226a110	0x142269e60	24
CReorderNavalRepairQueue	0x1429b0308	0x14226a110	0x142269e60	24
CReorderNavyTheaterGroupCommand	0x142a32ab8	0x14226a110	0x142269e60	24
CReorderPinnedStrategicRegionCommand	0x142a87c68	0x14226a110	0x142269e60	24
CReorderTemplateListCommand	0x142a481e0	0x14226a110	0x142269e60	59
CReorderTheatersCommand	0x142a32798	0x14226a110	0x142269e60	24
CReorganizeShipsCommand	0x1429b06f0	0x14226a110	0x142269e60	24
CReplaceAdvisorCommand	0x142995968	0x14226a110	0x142269e60	24
CReplaceBuildingCommand	0x142994a90	0x14226a110	0x142269e60	24
CReplaceIdeaCommand	0x1429958a0	0x14226a110	0x142269e60	24
CRequestAccessToLicenseProductionAction	0x14298e728	0x141141470	0x14113e7a0	67
CRequestExpeditionariesCommand	0x142996a98	0x14226a110	0x142269e60	24
CRequestForeignManpowerAction	0x14298efa8	0x141141690	0x14113f020	67
CRequestGameStateSynchCommand	0x14296a178	0x14226a110	0x142269e60	24
CRequestGameStateTransferCommand	0x14296a0b0	0x14226a110	0x142269e60	24
CRequestLicensedProductionAction	0x14298eb68	0x1411416c0	0x14113f040	67
CRequestPuppetForcesAction	0x14298d848	0x1411417a0	0x14113f2d0	67
CRequestReadyStatus	0x1429e6648	0x14226a110	0x142269e60	24
CResearchSlot	0x142974f50	0x140ee5110	0x140ee1680	9
CReserveOperativeForOperationCommand	0x142978248	0x14226a110	0x142269e60	24
CResetCustomDifficultyMultipliers	0x142a99a98	0x14226a110	0x142269e60	24
CResetGameRules	0x142a99b60	0x14226a110	0x142269e60	145
CResetUnreadPrototypeRewardsCounterCommand	0x142a90988	0x14226a110	0x142269e60	275
CResistance	0x14297e370	0x140f9ccf0	0x140f9b830	221
CResistanceActivity	0x142941280	0x14012a2c0	0x140aa1060	58
CResistanceActivityLog	0x142984888	0x141000640	0x140ffbf80	9
CResizeableSpriteType	0x142b525b0	0x14012a2c0	0x1423607e0	25
CResourceDeliveryRoute	0x14295c320	0x140cbe8d0	0x140cb82a0	9
CResourceExchange	0x14295c410	0x140cbeec0	0x140cb8e10	19
CResourceOrigin	0x14295c370	0x140cbefd0	0x140cb9360	19
CResourceRightsTimedEffect	0x1429dc280	0x1415a8e90	0x1415a8bb0	117
CRestructureShipsToTaskforceCompositions	0x1429b0d30	0x14226a110	0x142269e60	24
CRetireCharacterCommand	0x1429957d8	0x14226a110	0x142269e60	24
CReturnAllExpeditionaryForcesAction	0x14298d628	0x141141470	0x14113e7a0	67
CRocketDeployment	0x14295fbe8	0x140d14970	0x140d12610	9
CRocketProductionLine	0x14297c260	0x140f71830	0x140f71530	68
CRule	0x142718b48	0x14063c490	0x14063b900	33
CRuleOverrides	0x1429600d8	0x14063c690	0x14063bc30	9
CSavedAchievementMod	0x1429c6f70	0x141485b40	0x141485530	48
CSavedEventTarget	0x142721270	0x14053c090	0x140539530	24
CScientist	0x14297eab8	0x14140cf50	0x14140c3d0	175
CScientistLevel	0x1429bf088	0x1414606f0	0x1414603e0	420
CScientistRecruitmentPool	0x14298ad78	0x1414ed250	0x1414ed0e0	19
CScientistTemplate	0x142765da0	0x14012a2c0	0x14140d610	9
CScriptFlag	0x142721338	0x140cc00c0	0x140cbfe10	49
CScriptableLocalization	0x142942470	0x140aace10	0x140aac7a0	9
CScriptableValue	0x1429dafc8	0x14012a2c0	0x1415945d0	109
CScriptedDiplomaticAction	0x1429428d8	0x141141470	0x14113e7a0	100
CScriptedDiplomaticActionTemplate	0x142942828	0x14012a2c0	0x140ab3f60	9
CScriptedMapEntity	0x142973108	0x140e97c00	0x140e971b0	22
CScriptedMapEntityManager	0x1427216f0	0x140e97cd0	0x140e97440	9
CScriptedMapMode	0x142942720	0x14012a2c0	0x140aaff40	9
CScriptedMapModeLayer	0x1429426d0	0x14012a2c0	0x140ab0170	9
CScriptedWindowTemplate	0x1429db558	0x14012a2c0	0x14159ecb0	11
CSeasonType	0x14296bba8	0x14012a2c0	0x140df9570	9
CSeasons	0x14296bc48	0x14012a2c0	0x140df97f0	741
CSelectBookmarkCommand	0x1429e6198	0x14226a110	0x142269e60	24
CSelectDecisionCommand	0x142996908	0x14226a110	0x142269e60	24
CSelectEventOptionCommand	0x142938e60	0x14226a110	0x142269e60	1029
CSelectTargetedDecisionCommand	0x1429969d0	0x14226a110	0x142269e60	24
CSelectionGroupCommand	0x142996f98	0x14226a110	0x142269e60	24
CSelectionGroupReader	0x142721220	0x14012a2c0	0x1401e9820	9
CSelectionGroupWriter	0x1427211d0	0x1401f2be0	0x1424bec40	9
CSendAttacheAction	0x14298cd60	0x141141470	0x14113e7a0	67
CSendChunk	0x142b48b78	0x14226a110	0x142269e60	24
CSendExpeditionaryForceAction	0x14298d408	0x1411417d0	0x14113f2f0	67
CSendPingCommand	0x14296a498	0x14226a110	0x142269e60	24
CSendVolunteerAction	0x14298d1e8	0x141141860	0x14113f3a0	67
CSetAchievementsOK	0x1429e64b8	0x14226a110	0x142269e60	24
CSetAirWingNameCommand	0x142a1e128	0x14226a110	0x142269e60	24
CSetAreaDefenseSettingCommand	0x142a0c970	0x14226a110	0x142269e60	24
CSetArmyFakeTemplateCommand	0x1429b26b8	0x14226a110	0x142269e60	24
CSetArmyLeaderCommand	0x142a0c3f8	0x14226a110	0x142269e60	24
CSetArmyLeaderPreferredTacticCommand	0x142997830	0x14226a110	0x142269e60	24
CSetArmyTemplateCommand	0x1429b25f0	0x14226a110	0x142269e60	24
CSetArmyToConsolidateForUnit	0x1429b1d58	0x14226a110	0x142269e60	24
CSetAsReserveFleetCommand	0x1429b00b0	0x14226a110	0x142269e60	24
CSetAutoUpdateDesignsForIndustrialOrgCommand	0x142968188	0x14226a110	0x142269e60	174
CSetAutoUpgradedEquipmentVariantCommand	0x142a24890	0x14226a110	0x142269e60	24
CSetCarrierDefensiveStance	0x1429b0c68	0x14226a110	0x142269e60	24
