# CPersistent family 1.19.3 — fingerprint slot1=0x1424BEC50 & slot3=0x1424BE690
# class	vtable	writer[2]	reader[4]	slots(到下一RTTI表距离,非定案)
CAnimatedMapTextType	0x142b519d0	0x14012a2c0	0x1423563f0	30
CAnonymousEquipmentGroup	0x142719668	0x14012a2c0	0x140a0b160	14
CArmy	0x14295a490	0x140c90550	0x140c8c7e0	13
CArmyGroup	0x142952348	0x140bf75a0	0x140bf2ed0	18
CArmyGroupCommand	0x142a0ac88	0x14226a110	0x142269e60	24
CArmyLeader	0x142955ca8	0x140c28200	0x140c20530	34
CArmyManpower	0x14295a130	0x140c6ad10	0x140c6a300	9
CArmyManpowerValues	0x14295a0e0	0x14012a2c0	0x1424bec40	9
CArmyReinforcementRequests	0x1429d1df8	0x141510290	0x14150eb90	9
CArmyRequests	0x1429d2080	0x1415103c0	0x14150ec80	9
CArmyUpgradesRequests	0x1429d1fa8	0x141510430	0x14150ecd0	9
CArmyUpgradesRequests::CUpgradeRequestPersister	0x1429d1f20	0x141510700	0x14150f1b0	9
CArmyUpgradesStatus	0x1429d2030	0x141510510	0x14150eef0	9
CArrowType	0x142b51ac8	0x14012a2c0	0x142356d10	16
CAskForStateControlAction	0x14298dea8	0x1411412e0	0x14113e2f0	67
CAskToCoopWithCountryCommand	0x14295e430	0x14226a110	0x142269e60	24
CAssetFactory	0x142b50890	0x14012a2c0	0x14234db90	149
CAssetFactoryAudio	0x142b503f8	0x14012a2c0	0x14234a010	137
CAssignAceCommand	0x142996138	0x14226a110	0x142269e60	24
CAssignAdmiralToNavyHeadquarter	0x142a0d208	0x14226a110	0x142269e60	24
CAssignArmyToArmyGroupFront	0x142a0d078	0x14226a110	0x142269e60	24
CAssignRailwayGunToOrdersGroup	0x142972960	0x14226a110	0x142269e60	24
CAssignToArmyGroupCommand	0x142a0ad50	0x14226a110	0x142269e60	24
CAssignToTheaterGroupCommand	0x142a326d0	0x14226a110	0x142269e60	24
CAttachAirWingToArmyCommand	0x142a1e1f0	0x14226a110	0x142269e60	24
CAttachPolicyToIndustrialOrgCommand	0x142967da0	0x14226a110	0x142269e60	24
CAttachScientistCommand	0x142a90410	0x14226a110	0x142269e60	24
CAttacheRelation	0x142960648	0x140d2daa0	0x140d2b100	23
CAutoMergeOrdersCommand	0x142a0b9d0	0x14226a110	0x142269e60	24
CAutomateHomebaseForFleetCommand	0x1429b0df8	0x14226a110	0x142269e60	24
CAutonomousState	0x1427e3770	0x14012a2c0	0x140678d40	9
CAutonomousStateDatabase	0x1427e3820	0x14012a2c0	0x140678fb0	9
CAutosave	0x14296a880	0x14226a110	0x142269e60	24
CAutotestSettings	0x142724378	0x14012a2c0	0x1401f8d30	9
CBaseAchievement	0x1427decc0	0x14012a2c0	0x140620960	13
CBaseTimedActivity	0x142944a10	0x140adcc60	0x140adc130	19
CBecomeSpyMasterCommand	0x142a2e9a8	0x14226a110	0x142269e60	24
CBitmapFont	0x142b41888	0x14012a2c0	0x14229ec60	188
CBookmark	0x1427e3e08	0x14012a2c0	0x14067db80	9
CBookmarkCountryEntry	0x1427e3db8	0x14012a2c0	0x14067e210	9
CBoostPartyPopularityAction	0x14298da68	0x141141310	0x14113e310	67
CBoostPartyPopularityRelation	0x142960708	0x140d2da60	0x140d2b050	23
CBuildRailwayCommand	0x142997510	0x14226a110	0x142269e60	24
CBuilding	0x14298a7b8	0x1410dcca0	0x1410dbf60	183
CBuildingProductionLine	0x14297b958	0x140f6e660	0x140f6e1c0	100
CBuildingReference	0x142971f30	0x1413c0d80	0x1413c0940	12
CBuildingSpawnPoint	0x1427e42c0	0x14012a2c0	0x1414df9b0	16
CBuildingStatus	0x142999050	0x141179440	0x141178ab0	133
CBypassNationalFocusCommand	0x1429965e8	0x14226a110	0x142269e60	24
CCallAllyAction	0x14298c700	0x141141350	0x14113e360	67
CCancelAccessToLicenseProductionAction	0x14298e948	0x141141470	0x14113e7a0	67
CCancelForeignManpowerAction	0x14298f1c8	0x141141470	0x14113e7a0	67
CCancelLicensedProductionAction	0x14298ed88	0x141141470	0x14113e7a0	67
CCancelMovementCommand	0x1429b1e20	0x14226a110	0x142269e60	24
CCancelRunningAwayCommand	0x1429b2aa0	0x14226a110	0x142269e60	24
CCapturedOperativeReference	0x142981fb8	0x141a34ff0	0x141a34f40	476
CChangeAirGroupInsigniaCommand	0x142a1e9c0	0x14226a110	0x142269e60	24
CChangeConveyorPositionCommand	0x142a48c58	0x14226a110	0x142269e60	24
CChangeConveyorTemplateCommand	0x142a487a8	0x14226a110	0x142269e60	24
CChangeCountryControllerCommand	0x142996390	0x14226a110	0x142269e60	24
CChangeNavalBaseRepairPriorityCommand	0x1429b0560	0x14226a110	0x142269e60	24
CChangeProductionLineNamePriorityCommand	0x142994388	0x14226a110	0x142269e60	24
CChangeProductionLinePriorityCommand	0x142994c20	0x14226a110	0x142269e60	24
CChangeRailwayConstructionLeveLCommand	0x1429975d8	0x14226a110	0x142269e60	24
CCharacter	0x14297ea60	0x140fa6520	0x140fa50b0	10
CCharacterPortraits	0x1427655d8	0x14139f170	0x14139eb20	19
CChatBuffer	0x142b49cc8	0x142220340	0x14221fc10	10
CChatBuffer::CSendChatMessage	0x142b49b38	0x14226a110	0x142269e60	24
CChatBuffer::CWriteToChatBuffer	0x142b49c00	0x14226a110	0x142269e60	24
CChatCommand	0x1429ad250	0x14226a110	0x142269e60	24
CChatMessage	0x142b498b0	0x1422e77d0	0x1422e6ee0	13
CChatNewChannelCommand	0x1429ad638	0x14226a110	0x142269e60	34
CChatRequestSyncCommand	0x1429ad818	0x14226a110	0x142269e60	24
CChatSyncAllCommand	0x1429ad750	0x14226a110	0x142269e60	24
CChatUserJoinedChannelCommand	0x1429ad4a8	0x14226a110	0x142269e60	24
CChatUserJoinedCommand	0x1429ad318	0x14226a110	0x142269e60	24
CChatUserLeftChannelCommand	0x1429ad570	0x14226a110	0x142269e60	24
CChatUserLeftCommand	0x1429ad3e0	0x14226a110	0x142269e60	24
CCheckSyncCommand	0x14296a948	0x14226a110	0x142269e60	24
CCheckSyncResponseCommand	0x14296aa10	0x14226a110	0x142269e60	366
CChunkReceived	0x142b48c40	0x14226a110	0x142269e60	24
CCicBank	0x1429705a0	0x14145aba0	0x14145aab0	34
CCitySettings	0x1429e7a88	0x14012a2c0	0x1416532d0	55
CClearAllControllersCommand	0x14295e5c0	0x14226a110	0x142269e60	24
CClientOutOfSyncCommand	0x14296a3d0	0x14226a110	0x142269e60	24
CClientPingCommand	0x1427217e0	0x14226a110	0x142269e60	233
CCollapseConveyorCommand	0x142a48b90	0x14226a110	0x142269e60	24
CCombat	0x1429bbd30	0x1413e4150	0x1413e3020	165
CCombatHistory	0x142950638	0x140bbaea0	0x140bb9e50	9
CCombatHistoryEntry	0x1429505e8	0x140bbaf10	0x140bb9e70	9
CCombatManager	0x142950688	0x140bbaff0	0x140bba070	17
CCombatTactic	0x1427e6528	0x14012a2c0	0x1406c07f0	11
CCombatant	0x1429bbb40	0x1413e41f0	0x1413e33a0	34
CCommand	0x1427214c8	0x14226a110	0x142269e60	24
CConferenceForceGovernmentParticipant	0x1429c2668	0x1414599b0	0x141458990	742
CConferenceLiberatedParticipant	0x1429c2588	0x141459a10	0x1414589f0	13
CConferenceLoserParticipant	0x1429c2520	0x141459ab0	0x141458a30	12
CConferenceSubjectParticipant	0x1429c25f8	0x141459b10	0x141458990	13
CConferenceWinnerParticipant	0x1429c24d0	0x141459b70	0x141458a80	9
CConstructionSpeedFactor	0x1429cb628	0x14012a2c0	0x1419d8ed0	194
CContinuousFocusDatabase	0x1427e6900	0x14012a2c0	0x1406c2c80	261
CContinuousFocusPalette	0x1427e6800	0x14012a2c0	0x1406c2e30	9
CContinuousNationalFocus	0x1427e6850	0x14012a2c0	0x1406c3310	9
CConvertFactoryCommand	0x142994b58	0x14226a110	0x142269e60	24
CConvoyClient	0x14295c188	0x140cbe140	0x140cb73d0	50
CConvoyShip	0x142a3ac18	0x141ad8690	0x141ad8240	19
CConvoySubscriber	0x14295c0f0	0x141022cb0	0x141022120	9
CConvoys	0x1427e7130	0x141022cf0	0x141022160	9
CCorneredTileSpriteType	0x142b414a8	0x14012a2c0	0x142295ee0	26
CCountry	0x1427e7360	0x1407191b0	0x140705ce0	11
CCountryAirContainer	0x142958710	0x140c668b0	0x140c61360	13
CCountryCharacters	0x14298ae18	0x1410f0490	0x1410ed980	39
CCountryChatMessage	0x142b49a00	0x1422e77f0	0x1422e6f00	23
