# func_names_1193.tsv — hoi4.exe 1.19.3.0 VA -> 名字/模块标签
# 列: va(dec) \t name \t module file.cpp:line \t tier \t asserts(备选行号)
# tier: sym(PE 导出名/lambda 描述符) > slot(基类槽契约方法名) > rtti(vtable 槽 类::[槽号]) > line(断言行号)
5370134752	CDatabaseReloader<CAIStrategyPlanDatabase>::[0]		rtti	
5370134832	CDatabaseReloader<CAbilityDatabase>::[0]		rtti	
5370134912	CDatabaseReloader<CAgencyUpgradeDatabase>::[0]		rtti	
5370134992	CDatabaseReloader<CContinuousFocusDatabase>::[0]		rtti	
5370135072	CDatabaseReloader<CDecisionDatabase>::[0]		rtti	
5370135152	CDatabaseReloader<CEquipmentGraphicDatabase>::[0]		rtti	
5370135232	CDatabaseReloader<CHistoricalAgencyDatabase>::[0]		rtti	
5370135312	CDatabaseReloader<CIdeaDatabase>::[0]		rtti	
5370135392	CDatabaseReloader<CNationalFocusDatabase>::[0]		rtti	
5370135472	CDatabaseReloader<COccupationLawDatabase>::[0]		rtti	
5370135552	CDatabaseReloader<COccupationModifierDatabase>::[0]		rtti	
5370135632	CDatabaseReloader<COnActionDataBase>::[0]		rtti	
5370135712	CDatabaseReloader<CPeaceConferenceDatabase>::[0]		rtti	
5370135792	CDatabaseReloader<CPowerBalanceDatabase>::[0]		rtti	
5370135872	CDatabaseReloader<CResistanceActivityDatabase>::[0]		rtti	
5370135952	CDatabaseReloader<CScriptedDiplomaticActionTemplateDatabase>::[0]		rtti	
5370136032	CDatabaseReloader<CScriptedEffectTemplateDatabase>::[0]		rtti	
5370136112	CDatabaseReloader<CScriptedMapModeDatabase>::[0]		rtti	
5370136192	CDatabaseReloader<CScriptedTriggerTemplateDatabase>::[0]		rtti	
5370136272	CDatabaseReloader<CScriptedWindowDatabase>::[0]		rtti	
5370136352	CDatabaseReloader<CTrainGfxDatabase>::[0]		rtti	
5370136432	CUnitAdjuster::[0]		rtti	
5370136480	CPdxHybridInlineBufferAllocator<H::$0O::SYmlRow>::[0]		rtti	
5370136528	CPdxHybridInlineBufferAllocator<H::H$0IA>::[0]		rtti	
5370136576	CPdxHybridInlineBufferAllocator<H::$0BAA::CPixel>::[0]		rtti	
5370136624	$07H::CPdxHybridInlineBufferAllocator<unsigned long long>::[0]		rtti	
5370136672	CPdxHybridInlineBufferAllocator<…>::[0]		rtti	
5370136720	CPdxHybridInlineBufferAllocator<H::$0BJ::CIntelSource>::[0]		rtti	
5370136768	CPdxHybridInlineBufferAllocator<H::$0GE::EBVCCountry*>::[0]		rtti	
5370136816	CPdxHybridInlineBufferAllocator<H::H$0EA>::[0]		rtti	
5370136864	CPdxHybridInlineBufferAllocator<$00H::CProgressSection>::[0]		rtti	
5370136912	CPdxHybridInlineBufferAllocator<…>::[0]		rtti	
5370136960	CPdxHybridInlineBufferAllocator<…>::[0]		rtti	
5370137008	CPdxHybridInlineBufferAllocator<$03H::CScopedVariable>::[0]		rtti	
5370137056	CPdxHybridInlineBufferAllocator<$05H::CGameRuleOption>::[0]		rtti	
5370137104	CPdxHybridInlineBufferAllocator<…>::[0]		rtti	
5370137440	NFactions::NAi::CAiFactionTheaterDatabase::[1]		rtti	
5370137504	CAiFleetTemplateDatabase::[1]		rtti	
5370137568	CAiTaskforceTemplateDatabase::[1]		rtti	
5370137632	NScript::CConstantDatabase::[1]		rtti	
5370137696	NFactions::CFactionGoalDatabase::[1]		rtti	
5370137760	NFactions::CFactionIconsDatabase::[1]		rtti	
5370137824	NFactions::CFactionMemberUpgradeDatabase::[1]		rtti	
5370137888	NFactions::CFactionMemberUpgradeGroupDatabase::[1]		rtti	
5370137952	NFactions::CFactionRuleDatabase::[1]		rtti	
5370138016	NFactions::CFactionRuleGroupDatabase::[1]		rtti	
5370138080	NFactions::CFactionTemplateDatabase::[1]		rtti	
5370138144	CFocusInlayWindowDatabase::[1]		rtti	
5370138208	NDoctrines::CFolderDatabase::[1]		rtti	
5370138272	CFrontEndBackgroundDatabase::[1]		rtti	
5370138336	NAiNavalGoals::CGoalDatabase::[1]		rtti	
5370138400	NDoctrines::CGrandDoctrineDatabase::[1]		rtti	
5370138464	NScript::CNamedCollectionDatabase::[1]		rtti	
5370138528	NProject::CProjectDatabase::[1]		rtti	
5370138592	NProject::CPrototypeRewardDatabase::[1]		rtti	
5370138656	CPersistentReloadableGameItemDatabase<…>::[1]		rtti	
5370138720	CStrategicLocationDatabase::[1]		rtti	
5370138784	NDoctrines::CSubDoctrineDatabase::[1]		rtti	
5370138848	NDoctrines::CTrackDatabase::[1]		rtti	
5370138912	TGameItemDatabase<…>::[1]		rtti	
5370139040	TGameItemDatabase<NFactions::NAi::CAiFactionTheaterDatabase>::[1]		rtti	
5370139168	TGameItemDatabase<CAiFleetTemplateDatabase>::[1]		rtti	
5370139296	TGameItemDatabase<CAiTaskforceTemplateDatabase>::[1]		rtti	
5370139424	TGameItemDatabase<NScript::CConstantDatabase>::[1]		rtti	
5370139552	TGameItemDatabase<CCountryTagAliasDatabase>::[1]		rtti	
5370139680	TGameItemDatabase<CEquipmentGraphicDatabase>::[1]		rtti	
5370139808	TGameItemDatabase<CEquipmentGroupDatabase>::[1]		rtti	
5370139936	TGameItemDatabase<NFactions::CFactionGoalDatabase>::[1]		rtti	
5370140064	TGameItemDatabase<NFactions::CFactionIconsDatabase>::[1]		rtti	
5370140192	TGameItemDatabase<NFactions::CFactionMemberUpgradeDatabase>::[1]		rtti	
5370140320	TGameItemDatabase<NFactions::CFactionMemberUpgradeGroupDatabase>::[1]		rtti	
5370140448	TGameItemDatabase<NFactions::CFactionRuleDatabase>::[1]		rtti	
5370140576	TGameItemDatabase<NFactions::CFactionRuleGroupDatabase>::[1]		rtti	
5370140704	TGameItemDatabase<NFactions::CFactionTemplateDatabase>::[1]		rtti	
5370140832	TGameItemDatabase<CFocusInlayWindowDatabase>::[1]		rtti	
5370140960	TGameItemDatabase<NDoctrines::CFolderDatabase>::[1]		rtti	
5370141088	TGameItemDatabase<CFrontEndBackgroundDatabase>::[1]		rtti	
5370141216	TGameItemDatabase<NAiNavalGoals::CGoalDatabase>::[1]		rtti	
5370141344	TGameItemDatabase<NDoctrines::CGrandDoctrineDatabase>::[1]		rtti	
